From Fig1BBermanFrank2001InvertedColor.txt,,,
c0,c1,c2,c3
t (h),t(h) adjusted,Fv/Fm,t0 (sunrise)
0.3317,17.5204,0.3518,6.8113
0.1948,17.3835,0.3294,
0.0349,17.2236,0.3174,
0.1722,17.3609,0.3065,
0.3323,17.521,0.2985,
0.355,17.5437,0.3179,
0.5455,17.7342,0.31,
0.7288,17.9175,0.2811,
0.9954,18.1841,0.2965,
0.8733,18.062,0.3105,
0.4997,17.6884,0.3299,
0.7283,17.917,0.3349,
0.8502,18.0389,0.3234,
0.6598,17.8485,0.3184,
1.963,19.1517,0.3209,
2.3895,19.5782,0.3588,
2.0076,19.1963,0.436,
2.0841,19.2728,0.4096,
2.2668,19.4555,0.4365,
2.0992,19.2879,0.4236,
2.3813,19.57,0.4166,
2.6557,19.8444,0.4171,
2.5106,19.6993,0.4415,
2.4955,19.6842,0.4281,
2.8305,20.0192,0.465,
3.1129,20.3016,0.4231,
2.9684,20.1571,0.3927,
3.3338,20.5225,0.4346,
2.8681,20.0568,0.4978,
3.135,20.3237,0.4953,
2.8081,19.9968,0.4191,
2.6935,19.8822,0.443,
3.0211,20.2098,0.4525,
3.1889,20.3776,0.443,
3.5236,20.7123,0.5058,
3.7295,20.9182,0.4944,
3.9886,21.1773,0.4958,
3.3336,20.5223,0.455,
3.5241,20.7128,0.461,
3.6841,20.8728,0.4659,
3.5629,20.7516,0.3907,
3.5627,20.7514,0.4071,
3.7379,20.9266,0.4191,
3.9207,21.1094,0.4306,
3.9127,21.1014,0.456,
3.951,21.1397,0.443,
2.686,19.8747,0.4296,
3.9133,21.102,0.4076,
4.0658,21.2545,0.3997,
4.3325,21.5212,0.4012,
4.3705,21.5592,0.4201,
4.2103,21.399,0.4346,
4.2025,21.3912,0.4485,
4.2253,21.414,0.459,
4.3928,21.5815,0.4739,
5.0937,22.2824,0.4953,
5.2768,22.4655,0.4828,
5.1397,22.3284,0.4684,
4.9874,22.1761,0.458,
5.1552,22.3439,0.45,
5.3075,22.4962,0.4585,
5.4141,22.6028,0.4699,
5.4597,22.6484,0.4828,
5.7111,22.8998,0.4884,
5.6198,22.8085,0.4748,
5.78,22.9687,0.4635,
6.1751,23.3638,0.5855,
7.0746,0.2633,0.5671,
7.1585,0.3472,0.5551,
7.3567,0.5454,0.5522,
7.2193,0.408,0.5781,
7.3564,0.5451,0.589,
7.5545,0.7432,0.5935,
7.3413,0.53,0.5655,
7.5394,0.7281,0.5716,
7.5393,0.728,0.584,
7.3869,0.5756,0.5781,
5.5742,22.7629,0.4659,
5.0641,22.2528,0.4151,
5.1785,22.3672,0.4047,
5.3082,22.4969,0.3942,
5.2469,22.4356,0.4221,
5.3613,22.55,0.4111,
5.5139,22.7026,0.3977,
5.7274,22.9161,0.3907,
5.6891,22.8778,0.4042,
5.9941,23.1828,0.3937,
5.8873,23.076,0.4042,
5.7881,22.9768,0.4111,
5.445,22.6337,0.4281,
5.5974,22.7861,0.4336,
5.6202,22.8089,0.4241,
6.9457,0.1344,0.4993,
6.771,23.9597,0.44,
6.8852,0.0739,0.4555,
6.0086,23.1973,0.4699,
6.2219,23.4106,0.4759,
6.3819,23.5706,0.4809,
6.5649,23.7536,0.4719,
6.7174,23.9061,0.4704,
6.8163,0.005,0.4824,
6.687,23.8757,0.4575,
6.253,23.4417,0.4186,
6.0777,23.2664,0.4196,
5.8639,23.0526,0.451,
5.8564,23.0451,0.4395,
6.0394,23.2281,0.4321,
6.1384,23.3271,0.443,
6.3366,23.5253,0.4405,
6.3211,23.5098,0.4679,
6.4736,23.6623,0.461,
6.3136,23.5023,0.4565,
6.0011,23.1898,0.457,
6.4889,23.6776,0.449,
6.8622,0.0509,0.4704,
10.8704,4.0591,0.5332,
10.7944,3.9831,0.5108,
10.9698,4.1585,0.5013,
11.0081,4.1968,0.4828,
