#DataThief C:\Users\Keisuke\Google Drive\0 Paper\58 Modeling Trichodesmium\Data Plot\Fig2DBermanFrank2001.PNG Thursday 27-Sep-2018 8:44:30 AM,,,,,,,,
c0,c1,c2,c3,c4,c5,c6,c7,c8
t (h),t(h) adjusted,C fix,t0 (sunrise),t(h) (ave),C fix (ave),STD t,STD C fix,
9.9948,0.9948,48.1459,9,0.9948,48.1459,,,
12.5088,3.5088,24.9042,,3.5088,24.9042,,,
13.2557,4.2557,1.6591,,4.4538,2.24585,0.1981,0.58675,
13.6519,4.6519,2.8326,,5.980266667,25.2736,0.569729207,2.403243227,
14.2622,5.2622,21.9625,,9.1334,37.87995,1.1158,1.83515,
15.0228,6.0228,27.5931,,,,,,
15.6558,6.6558,26.2652,,,,,,
17.0176,8.0176,39.7151,,,,,,
19.2492,10.2492,36.0448,,,,,,
